OWT,AVW,Area,NDI,Utot
2,461.958,0.353,0.836,0.997
3a,503.854,0.394,0.668,0.857
4a,538.355,1.682,0.55,1.603
7,655.18,0.091,-0.446,0.871
3b,496.145,1.979,0.747,1.368
5b,620.968,2.403,0.267,0.822
1,456.73,0.562,0.817,1.401
4b,559.254,4.103,0.384,1.508
6,603.196,4.556,-0.054,1.207
5a,576.243,1.192,0.417,1.132
