444,492,560,666,704,740,784,836
0.0044726,0.0032257,0.0007454,6.52e-05,3.45e-05,7.9e-06,8.7e-06,4.4e-06
0.0022858,0.0028376,0.0021504,0.0004164,0.0002796,7.34e-05,8.52e-05,4.93e-05
0.0050867,0.0073629,0.0109993,0.0031077,0.0022934,0.0005786,0.0007363,0.0004077
6.29e-05,0.0001418,0.0003543,0.0009131,0.0013127,0.0005679,0.0007269,0.0004483
0.0130191,0.0166833,0.0103156,0.0014616,0.0008975,0.0002221,0.0002692,0.0001497
0.0028387,0.0051732,0.0158768,0.008511,0.0212157,0.0112792,0.0130719,0.0081564
0.0069813,0.0045773,0.0012137,0.0001194,6.69e-05,1.48e-05,1.88e-05,9e-06
0.0095694,0.0156169,0.026465,0.0112396,0.0105354,0.002719,0.0032287,0.0018311
0.0087944,0.0138136,0.0239576,0.0261465,0.0279304,0.0132366,0.0157176,0.0102149
0.0020272,0.0031943,0.0081196,0.0030949,0.0048022,0.0012743,0.0017194,0.0008577
