type,wavelen,m_Rrs,sd_Rrs,lo_Rrs,up_Rrs,m_nRrs,sd_nRrs,lo_nRrs,up_nRrs
2,532,0.0022939462579999966,0.0016278956692723585,0.0009809005,0.005296188999999995,0.0038432346707389068,0.0008578351000638292,0.0022527975773317557,0.005007734099195676
2,534,0.0022529287309999996,0.0016083279093717661,0.0009556885000000001,0.0052123029999999945,0.003769480490300272,0.0008517345729234364,0.0021931393215858697,0.0049287734317446895
2,536,0.002208782776000004,0.0015864085005597975,0.0009299935,0.005135898,0.0036906632169639076,0.0008443621352440802,0.0021326008221517903,0.00484307002694263
2,538,0.002158589135999999,0.001559794574762671,0.0009032295,0.005042144999999999,0.0036021056642704346,0.0008344757647989131,0.0020645879231212345,0.004748548880873154
2,540,0.002101453876000013,0.001527882030417737,0.0008739085,0.004929334499999999,0.0035022512243718233,0.0008217856156075313,0.001992698742672844,0.004638422148872443
2,542,0.002042126262000007,0.0014939202737065675,0.000842917,0.004804953,0.003398967156517108,0.000807693484593025,0.001919955383976934,0.004520664257248258
2,544,0.0019738599500000046,0.0014528149897202886,0.000809301,0.004652441999999996,0.0032812586617936845,0.0007896939898889087,0.0018382864155819683,0.004386067054520351
2,546,0.0019074407629999961,0.0014125527854738208,0.000776019,0.004505815499999997,0.003166770717317084,0.0007718718370683814,0.0017612697392010907,0.004253326721945188
2,548,0.0018398804929999986,0.0013707611282361427,0.0007443465,0.004352987499999998,0.0030507928487950066,0.000753025175187643,0.0016840086026987076,0.004118137346777484
2,550,0.0017747528210000048,0.0013299141361949314,0.0007135195000000001,0.004219305,0.0029392537600923196,0.0007343230810715983,0.001608559515675523,0.003985246918753143
2,552,0.0017213592220000058,0.0012971494455283124,0.0006878465,0.004111648999999996,0.002847219722737039,0.0007194580770998323,0.0015485609841336108,0.0038785328791555093
2,554,0.0016744689539999985,0.0012686644827599861,0.000664449,0.004011673499999996,0.0027660814101363447,0.000706470596623226,0.001494256419409765,0.003783068861322276
2,556,0.0016395456189999991,0.0012486467032485193,0.0006456975,0.003936937999999993,0.0027047685259810232,0.0006975787384194321,0.0014513106679676488,0.00371325128466969
2,558,0.0016113226230000041,0.001233410391250533,0.000630033,0.0038843659999999954,0.002654566501172991,0.0006910640416563983,0.0014159782809652342,0.0036579162512071967
2,560,0.0015786495749999963,0.0012144698681905083,0.000612997,0.0038191309999999977,0.002597303977676311,0.000682514096673985,0.0013780701732147202,0.0035909361740929006
2,562,0.0015493449200000042,0.0011979067205995677,0.000597319,0.0037716244999999996,0.002545634158906964,0.0006750581120998888,0.0013422486625431552,0.0035317990375613316
2,564,0.0015160581970000034,0.0011778842795249008,0.000580699,0.0036999939999999955,0.002487713441900417,0.0006657042604754632,0.0013052126443696438,0.003464016168814925
2,566,0.0014782928520000055,0.0011542017562187865,0.000562009,0.0036247659999999985,0.002422601170530165,0.0006544739939061039,0.0012624675472821742,0.003388158576561567
2,568,0.0014339577410000036,0.001125055810204781,0.0005413695,0.0035286889999999937,0.002347007143617838,0.0006402311055221465,0.0012151561657967572,0.0032958836244312505
2,570,0.0013830711800000082,0.0010903962016643146,0.000518495,0.0034148159999999976,0.0022609583765240532,0.0006229234035671145,0.0011622582659271876,0.003188860144633426
2,572,0.0013288975109999987,0.0010526815004982147,0.000495105,0.0032888539999999964,0.002169830603558334,0.0006038799438396164,0.001107371868106476,0.0030706315070918744
