type,wavelen,m_Rrs,sd_Rrs,lo_Rrs,up_Rrs,m_nRrs,sd_nRrs,lo_nRrs,up_nRrs
1,400,0.0179925457892521,0.012619920528072,0.00442916660728527,0.0459699333158596,0.0237723080834744,0.00933494483199359,0.0120227030152076,0.0436662085034713
1,402,0.017634971692602,0.0122126785760922,0.00435117331074572,0.0444392439074349,0.0233297776088562,0.00894977140831452,0.0119183896587159,0.0423266629777294
1,404,0.0172800421460142,0.011821515925309,0.00429746440843733,0.043005790796134,0.0228872252882491,0.00858505948581263,0.0118154372108711,0.0410251221299561
1,406,0.0169824289356347,0.0115104604950492,0.00425169135922971,0.0418648153185496,0.022508348740627,0.00829733091230179,0.0116861737294426,0.0399696277458116
1,408,0.0166989082745034,0.01122240556923,0.004175553654609,0.0408401077519157,0.0221448558919775,0.00803363602631714,0.0115692843549593,0.038966921367513
1,410,0.0164302389747644,0.0109573739044098,0.00411645226415675,0.0397981900963895,0.021797944176716,0.00779332053599386,0.0114517357119577,0.0380304148311061
1,412,0.0161920145351214,0.0107274887754405,0.00405016748056934,0.0389177105825465,0.0214884406625247,0.00758511284198153,0.0113333222100077,0.0371761845388707
1,414,0.0159425909797433,0.0104801353915572,0.00399711157384207,0.0379817598555999,0.0211693607822438,0.00736107283417301,0.011224051544915,0.0362241538019075
1,416,0.0156617787255807,0.0101888815841126,0.0039400504828863,0.0369882078897868,0.0208186801318314,0.0070992030209036,0.0111066487685334,0.0351776757144169
1,418,0.0153664165322616,0.00987780912799603,0.00388749268399563,0.0358550746521498,0.0204542149150364,0.00682079680101304,0.0109741203953554,0.0340709158271761
1,420,0.0150662967659055,0.00955987542153074,0.00384495438730694,0.0347215403704759,0.020086670222381,0.00653660701595201,0.010838694498601,0.0329548396761145
1,422,0.0147538788168492,0.0092284159602368,0.00379159415777265,0.0335400591762349,0.0197063017885614,0.00624199207809151,0.0107305185387347,0.0317880037677279
1,424,0.0144386926061363,0.00889755152378463,0.00373554281528485,0.0324261608433968,0.0193228699543852,0.00595081056614349,0.0106332982551108,0.0305927072348332
1,426,0.0140911285374387,0.0085377848233931,0.00368083535370375,0.0311740275170128,0.0189006427535883,0.00563816737058188,0.0105069897932514,0.0293585755406446
1,428,0.0137274444173087,0.0081658952845629,0.00363620362014451,0.0298874885246895,0.0184591863058745,0.00531891652899657,0.0103826953464539,0.0280978004661825
1,430,0.0133241324420077,0.00775455690175574,0.00357148034111004,0.028484246588246,0.0179724150207797,0.00496664087223303,0.0102386535800688,0.0267245792021667
1,432,0.0128756521317874,0.007303850641344,0.00351984429166112,0.0269015382846307,0.0174323335281426,0.00458126560291477,0.0101142234455029,0.0252495423676708
1,434,0.0123837348266243,0.00681962635513635,0.00346019527201572,0.0252410717914762,0.0168403399218242,0.00416680945368946,0.00996951417427695,0.0236800810798751
1,436,0.011837107220526,0.00628838154068454,0.00340982122114606,0.023486341867561,0.0161852397545485,0.00370771913626838,0.0098503095707375,0.0219664497943679
1,438,0.0112621229594188,0.0057394218002667,0.00336794304443834,0.0216425187688318,0.0154976392554596,0.00323115248991967,0.00973388798390311,0.0202231895962931
1,440,0.0106172429945814,0.005142193896062,0.00332797655815634,0.019663980246393,0.0147254330307674,0.00271154476131037,0.00963562045488551,0.0183434783246346
1,442,0.0099822243147254,0.00457535197154454,0.00329748045542793,0.0177916912566172,0.0139625269137834,0.00221672201043299,0.00954728745423387,0.0165466367052557
1,444,0.00944984432974498,0.00411533381676835,0.00327149256562384,0.0162745107033923,0.0133212903387141,0.00181536983344897,0.00950177989742606,0.0150804183867907
1,446,0.00894028932708819,0.00369262231804028,0.0032506187355091,0.0149183620079977,0.0127038932911029,0.00145701448260856,0.00946818674290929,0.013918414678029
1,448,0.00849809172984832,0.00333888714710568,0.00323377156074769,0.0138086729448631,0.0121656779495615,0.00117339907538982,0.00944830103844344,0.0131722915049654
1,450,0.00814648596224901,0.00306663952066884,0.00322727396835916,0.0129482020083974,0.0117359568347863,0.000979279096518245,0.00943907571013392,0.0126707479382921
1,452,0.00785423406504221,0.00285180558595056,0.00321696538980449,0.0122695261595985,0.0113748501314881,0.000852675751133215,0.00943217516050185,0.0122900190485205
1,454,0.00764488310304394,0.00270117592003707,0.00320464436882453,0.011808504642576,0.0111160141926531,0.000786302311853072,0.00944182581278253,0.012033534676732
1,456,0.00748117692977998,0.00258590587237107,0.00320112119329946,0.0114341769122131,0.0109131824226024,0.000754304349323082,0.00943565766960596,0.0118488902270803
1,458,0.00733238988777881,0.00248683350644041,0.00319816479397928,0.0111142971810945,0.0107267392716165,0.000742004855576857,0.00943179088011204,0.0116836022817835
1,460,0.00720593312377586,0.00240540478146759,0.00318973433727784,0.0108403038780111,0.0105676497198217,0.000744683145225215,0.00933534106906738,0.0115527886934697
1,462,0.00708101858868845,0.00232736827358908,0.00318183353890802,0.010592880119393,0.0104097774249531,0.000757733341292627,0.00908625666830675,0.0114294438822147
1,464,0.00693956771819996,0.00224172397639442,0.00317546150699964,0.0103093409304406,0.0102301277822088,0.000781346488613242,0.00880347521616788,0.0112937412713475
1,466,0.00680437014186701,0.00216280591255376,0.00317198154566526,0.0100619317472192,0.0100583043156985,0.000814654835391958,0.00853329702787081,0.0111747447157073
1,468,0.00664449260110837,0.0020709283358199,0.0031633220522047,0.00973949484762492,0.009854231979617,0.000858948520233742,0.00821996135878937,0.0110255656491963
1,470,0.00648001717484631,0.00197888008131686,0.00315607463577999,0.00942180718315455,0.00964406870074439,0.000912825281864723,0.00788589153529584,0.0108818439159096
