sensor,0,1,2,3,4,5,rsq
HSI-EnMAP,-5123.3925915330865,45.81759209671841,-0.15812061848622233,0.00027871792569230964,-2.4381941858441533e-07,8.437266404438027e-11,0.9995701052047068
OCI-PACE,12420.927340247854,-116.70174018492953,0.4416919584965311,-0.0008192008483812781,7.498574002346378e-07,-2.7084954090330456e-10,0.9996721138391486
OCTS-adeos,31991.844312651403,-264.6492264429165,0.8625582829833672,-0.0013674914848182888,1.0585401445925585e-06,-3.2006009349031937e-10,0.9930156386158084
modis-aqua,-10635.495792274109,114.50058180543087,-0.471801034039196,0.0009564136568449472,-9.46804524445356e-07,3.6686468657761406e-10,0.9941221459983309
GOCI-coms,1896.967752208679,-21.769706525597655,0.09773386396105538,-0.00019473478538870907,1.8445175476777178e-07,-6.757770459595705e-11,0.9967416946728425
MERIS-envisat,17428.91439413519,-158.1710651025021,0.574045871152209,-0.0010214755511502608,8.971016920117559e-07,-3.114381478502365e-10,0.9990686267235483
viirs-jpss-1,20014.85274710591,-180.15292207265693,0.6433881073538233,-0.0011212042289725263,9.6065383823323e-07,-3.24667048669621e-10,0.9970326368708627
viirs-jpss-2,22290.075137763524,-200.83951469481727,0.7176112259035379,-0.0012525555332896178,1.0753496683765124e-06,-3.6423182733282526e-10,0.9969910385242937
OLI-landsat-8,-36065.57223060982,311.279290822571,-1.0681159620310456,0.00183551674043896,-1.570657532681669e-06,5.340744759383116e-10,0.9956260422912874
SeaWiFS-orbview-2,62196.82152381222,-536.8970810283811,1.8349660396389935,-0.0030882730915826537,2.567726455437257e-06,-8.45067974840417e-10,0.9921925464656853
olci-s3a,5742.934141892621,-56.527896361185896,0.2253995880309725,-0.0004304717877905865,4.011091751944576e-07,-1.4632380315093962e-10,0.9981502465667923
olci-s3b,5801.340835196076,-57.1079132081412,0.2276760468887858,-0.0004348892892816114,4.0534750637280585e-07,-1.4793117946106901e-10,0.99816544433645
HAWKEYE-seahawk1,64362.10447966226,-566.5590730624227,1.9771946472972577,-0.0034029756075924047,2.896748773824024e-06,-9.76946200223289e-10,0.997010439844551
msi-sentinel-2a,7511.535686529454,-75.83137081777728,0.29624709648459485,-0.0005460345617704848,4.852391422147407e-07,-1.674897152644667e-10,0.9964641028438193
msi-sentinel-2b,9186.173460417429,-89.91717160074819,0.34345828472242435,-0.0006247868904198355,5.505771579111363e-07,-1.8904432466789992e-10,0.9965665278363708
viirs-suomi-npp,26266.585513214828,-237.72227946185114,0.8527891299747234,-0.0014972184938676712,1.2940376440383716e-06,-4.414543112332327e-10,0.9971036856992522
modis-terra,-9816.633507179204,107.47250674859048,-0.44812668235657865,0.0009173828039015771,-9.153883821450262e-07,3.57021429756954e-10,0.9941078451633664
CMEMS_BAL_HROC,7511.535686529454,-75.83137081777728,0.29624709648459485,-0.0005460345617704848,4.852391422147407e-07,-1.674897152644667e-10,0.9964641028438193
CMEMS_BAL_NRT,3938.4183007820143,-40.93684906985742,0.1728073840616755,-0.0003443136715752401,3.3296521404857035e-07,-1.256263818252623e-10,0.997184491309797
CMEMS_MED_MYINT,3938.4183007820143,-40.93684906985742,0.1728073840616755,-0.0003443136715752401,3.3296521404857035e-07,-1.256263818252623e-10,0.997184491309797
AERONET_OC_1,3736.07589498351,-28.736684792299066,0.08930876486952419,-0.00012311730882765614,7.483666220156514e-08,-1.447090299956597e-11,0.9964725118155443
AERONET_OC_2,36270.02999972947,-292.2340333913869,0.920911828495326,-0.0013981685204011573,1.020625153165826e-06,-2.8394883324487584e-10,0.9900100420572393
modis-gee,15475.788966408856,-127.25794528811628,0.4150161474492979,-0.0006538390599446767,5.006842457102536e-07,-1.4879196402740318e-10,0.9950285582160813
